States;;No_of_unemployed_persons
Abia;;585858 
Adamawa;;303661
Akwa-ibom;;1199537
Anambra;;523041
Bauchi;;459411
Bayelsa;;407378
Benue;;511291
Borno;;709023
Cross River;;548000
Delta;;757660
Eboyni;;296842
Edo;;484450
Ekiti;;328390
Enugu;;422204
Gombe;;247164
Imo;;812011
Jigawa;;379606
Kaduna;;863096
Kano;;1158998
Katsina;;236988
Kebbi;;288965
Kogi;;448903
Kwara;;313890
Lagos;;1009518
Nasarawa;;345672
Niger;;368377
Ogun;;469731
Ondo;;327997
Osun;;228164
Oyo;;403048
Plateu;;551441
Rivers;;1534765
Sokoto;;399649
Taraba;;404191
Yobe;;295979
Zamfara;;235773
Fct;;390704
